Date,NATURAL GAS,GOLD,BRENT CRUDE
02/01/2020,2.122,1528.1,66.25
03/01/2020,2.13,1552.4,68.6
06/01/2020,2.135,1568.8,68.91
07/01/2020,2.162,1574.3,68.27
08/01/2020,2.141,1560.2,65.44
09/01/2020,2.166,1554.3,65.37
10/01/2020,2.202,1560.1,64.98
13/01/2020,2.182,1550.6,64.2
14/01/2020,2.187,1544.6,64.49
15/01/2020,2.12,1554,64
16/01/2020,2.077,1550.5,64.62
17/01/2020,2.003,1560.3,64.85
20/01/2020,2.003,1560.3,65.2
21/01/2020,1.895,1557.9,64.59
22/01/2020,1.905,1556.7,63.21
23/01/2020,1.926,1565.4,62.04
24/01/2020,1.893,1571.9,60.69
27/01/2020,1.902,1577.4,59.32
28/01/2020,1.934,1569.8,59.51
29/01/2020,1.877,1570.4,59.81
30/01/2020,1.829,1583.5,58.29
31/01/2020,1.841,1582.9,58.16
03/02/2020,1.819,1577.2,54.45
04/02/2020,1.872,1550.4,53.96
05/02/2020,1.861,1557.8,55.28
06/02/2020,1.862,1565.1,54.93
07/02/2020,1.858,1568.6,54.47
10/02/2020,1.766,1574.7,53.27
11/02/2020,1.788,1565.6,54.01
12/02/2020,1.844,1567.4,55.79
13/02/2020,1.826,1575.1,56.34
14/02/2020,1.837,1582.7,57.32
17/02/2020,1.837,1582.7,57.67
18/02/2020,1.981,1600,57.75
19/02/2020,1.955,1607.5,59.12
20/02/2020,1.92,1616.6,59.31
21/02/2020,1.905,1644.6,58.5
24/02/2020,1.827,1672.4,56.3
25/02/2020,1.847,1646.9,54.95
26/02/2020,1.821,1640,53.43
27/02/2020,1.752,1642.5,52.18
28/02/2020,1.684,1566.7,50.52
02/03/2020,1.756,1594.8,51.9
03/03/2020,1.8,1644.4,51.86
04/03/2020,1.827,1643,51.13
05/03/2020,1.772,1668,49.99
06/03/2020,1.708,1672.4,45.27
09/03/2020,1.778,1675.7,34.36
10/03/2020,1.936,1660.3,37.22
11/03/2020,1.878,1642.3,35.79
12/03/2020,1.841,1590.3,33.22
13/03/2020,1.869,1516.7,33.85
16/03/2020,1.815,1486.5,30.05
17/03/2020,1.729,1525.8,28.73
18/03/2020,1.604,1477.9,24.88
19/03/2020,1.654,1479.3,28.47
20/03/2020,1.604,1484.6,26.98
23/03/2020,1.602,1567.6,27.03
24/03/2020,1.653,1660.8,27.15
25/03/2020,1.659,1633.4,27.39
26/03/2020,1.637,1651.2,26.34
27/03/2020,1.634,1625,24.93
30/03/2020,1.69,1622,22.76
31/03/2020,1.64,1583.4,22.74
01/04/2020,1.587,1578.2,24.74
02/04/2020,1.552,1625.7,29.94
03/04/2020,1.621,1633.7,34.11
06/04/2020,1.731,1677,33.05
07/04/2020,1.852,1664.8,31.87
08/04/2020,1.783,1665.4,32.84
09/04/2020,1.733,1736.2,31.48
13/04/2020,1.724,1744.8,31.74
14/04/2020,1.65,1756.7,29.6
15/04/2020,1.598,1727.2,27.69
16/04/2020,1.686,1720.4,27.82
17/04/2020,1.753,1689.2,28.08
20/04/2020,1.924,1701.6,25.57
21/04/2020,1.821,1678.2,19.33
22/04/2020,1.939,1728.7,20.37
23/04/2020,1.815,1733.3,21.33
24/04/2020,1.746,1723.5,21.44
27/04/2020,1.819,1711.9,19.99
28/04/2020,1.794,1710.5,20.46
29/04/2020,1.869,1713.4,22.54
30/04/2020,1.949,1694.2,25.27
01/05/2020,1.89,1700.9,26.44
04/05/2020,1.993,1713.3,27.2
05/05/2020,2.134,1710.6,30.97
